"ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"OtB5154",0.00848695858572093,0,0.0160078410469384,0,0,0.257312916536504,0,0,0,0,0,0.0527566474238983,0.103906166249268,0.184204672526154,0,0.180579383381951,0,0.0110429363543353,0.127070291273394,0,0.0516006096188411,0.0070315770029936,0.06,0.19618001786195,1.00593336453278
"OtB5155",0.00299025623766953,0,0.0212794191915882,0.0289379197640706,0,0.26546125785896,0.00309103496155051,0,0,0,0.00140380701969385,0.0223015208263291,0.114592727079217,0.119478394573199,0,0.254376456193137,0,0.0103276753816653,0.10824546644513,0,0.0358634910874183,0.0116505733803719,0.05,0.204058459662878,1.00157892668767
"OtB5156",0,0.0158026316234034,0,0.00117612050233473,0.0118432942322175,0.127912316903037,0,0,0,0,0.0103320976872108,0.0352786635096207,0.125190403898305,0.22262336337913,0,0.246549808103713,0,0.110843524153857,0.0585108538678696,0,0.0247813362462899,0.00915558589301194,0.02,0.25176553697348,0.992385159258322
"OtB5157",0,0.00417665972417846,0,0,0,0.159166037855849,0,0,0,0,0.0291473967995995,0.0271036687226452,0.17764948429612,0.190650137027908,0,0.16783000902068,0,0.124115751292221,0.043521412793217,0,0.0166729447589567,0.0599664977086256,0.02,0.248104532343818,0.991896455461003
"OtB5256",0,0.00389770172938229,0,0,0,0.135907872154134,0,0,0,0,0.0333130722381322,0.0203499255862611,0.175164181425235,0.155394102725065,0,0.148635494331692,0,0.165123533126045,0.043219780572023,0,0.0360864747850078,0.0829078613270228,0.01,0.297064206261735,0.969058235833894
"OtB5159",0,0.00155418035670811,0.01371590053422,0,0.044223701964423,0.273420171742125,0,0,0,0,0,0.0827661795272526,0.0631465174064734,0.0696022131350511,0,0.219721880146288,0,0.101525544823217,0.0638002503347058,0,0.00659410412116438,0.0599293559083724,0.05,0.212917730358928,0.99687004313822
"OtB5160",0.0274311346276751,0,0.0469908942171947,0.00227635930000887,0.0167124306915484,0.217990138371935,0,0,0,0,0,0.0910955313561022,0.010962554567942,0.0719791779939559,0,0.23336700524763,0,0.0998076346808387,0.116892803569681,0,0.00097194535263538,0.0635223900228532,0.09,0.169439414482644,1.01136014904649
"OtB5161",0,0.0114978526322144,0,0.0333356312765197,0,0.233577380001359,0,0,0,0,0,0.0591967360553145,0.048649461467895,0.127748348160857,0,0.264179174595043,0,0.108319877664772,0.0694850652895921,0,0.00281562774862531,0.0411948451078076,0.02,0.262463334397315,0.979171011959905
"OtB5162",0,0.0231007330825428,0,0.0202846133199582,0,0.209698787094181,0,0,0,0,0.030300040811173,0.0681404366534543,0.0915765022454162,0.0868069951089332,0,0.281409782803295,0,0.127380111049321,0.0580900470455328,0,0,0.00321195078619245,0,0.38798616081465,0.921909636850439
"OtB5163",0,0,0.00866803240188951,0,0.00682742228219207,0.219072548529767,0,0,0,0,0,0.0699393462801112,0.0591332903191911,0.0404519595176299,0,0.330970827795746,0,0.179532508355712,0.0564820209381987,0,0.00150831218785849,0.0274137313917032,0,0.362460236892773,0.934708156198326
"OtB5164",0,0.072128928253012,0,0,0,0.236719388382765,0,0,0,0,0,0.0423619334201484,0.0436546612204803,0.0881824653483979,0,0.332419603251072,0,0.106958562663423,0.0551852478553377,0,0,0.0223892096053637,0,0.377518306098907,0.926660939935115
"OtB5165",0,0.0204550313530696,0,0.00394258464606134,0,0.217854533719432,0,0,0,0,0,0.0606993566099745,0.0535460130458924,0.0783796458904599,0,0.308954574506293,0,0.173644130009311,0.0517258470578641,0,0,0.0307982831616426,0,0.386438257859606,0.923310958602288
"OtB5170",0.0019087511857763,0,0,0.022788930606247,0,0.335381586466981,0,0,0,0,0,0.108372833471916,0.0358670000299409,0.010160020969742,0.0573707541978431,0.136540532273707,0,0.229861462071046,0.0436602991375776,0.00444773598804787,8.6662013951816e-05,0.0135534315872233,0,0.329764458637497,0.95621281364837
"OtB5172",0.0261898667579082,0,0.00108666170500687,0.0236494068858051,0,0.311484843650654,0,0,0,0,0,0.0883837342956809,0.0400012356891664,0,0.0402485472792216,0.111024563101343,0,0.272801997308522,0.0652923038084807,0,0.00432045430182722,0.0155163852163834,0,0.391562354011284,0.923707176172726
"OtB5259",0.00335868613787579,0,0,0.0561201375285574,0,0.312877225336724,0,0,0,0,0.00762737128230774,0.13293143118886,0.0537078671313854,0.0355020448683641,0.0506708316290977,0.11382882976888,0,0.170605444978293,0.0499759313631502,0,0,0.0127941987865052,0,0.442738822733762,0.896362733011333
"OtB5178",0.0409568220865544,0,0.0127900119885773,0.0248769861831394,0,0.307281089936977,0.0261252519584133,0,0,0,0,0.0470878125102858,0.0217398608827363,0.0943831791022468,0.0376734479014658,0.243098222930193,0,0.0591210290155907,0.0848662855038201,0,0,0,0,0.386483388369939,0.921921089706693
"OtB5179",0,0,0.00102124208769961,0.00033518028294277,0,0.265565231287542,0.0587957393344796,0,0,0,0,0.0441365993660325,0.0518638965975811,0.102889242011396,0.0172072400633457,0.244376229780076,0,0.119590064354806,0.053018878276453,0,0.00470668585488652,0.0364937707027596,0,0.337947567059205,0.944059919404335
"OtB5180",0.00823100293155304,0,0.00560344776271119,0.0371239943851594,0,0.290128863237791,0.0129994330912611,0,0,0,0,0.072461937649703,0.083163433413627,0.0842081739800842,0.0212367953272662,0.206554830142492,0,0.085786821818702,0.068322189467619,0,0,0.0241790767920304,0,0.356469550834982,0.935272207819817
"OtB5166",0,0.07215652150419,0,0.00959110304114678,0,0.233377910914826,0,0,0,0,0,0.0558685229239829,0.0278048329202766,0.113800577161055,0,0.248110588616872,0.00550797711065161,0.135872047406381,0.079634326394674,0,0,0.0182755920059438,0,0.350748774891681,0.93799599240388
"OtB5254",0,0.168480608393031,0.0195693554424511,0.0206600558224064,0.031828361237164,0.152497729545633,0,0.00245929149395935,0,0,0,0.0766035407695949,0.0204469040810472,0.0225755089329483,0,0.312138218935922,0.00344282062897967,0.0536363850617785,0.113495712556601,0,0,0.00216550709848334,0.05,0.211421717039128,0.993112537958303
"OtB5169",0,0.096359024146445,0.00204792596330186,0.0146556994776687,0,0.203085744591706,0,0,0,0,0,0.0547546122213045,0.0280861935829491,0.107186942736657,0,0.238641317129356,0.000934245372357378,0.150972190522094,0.0887906288118833,0,0,0.0144854754442772,0,0.33459252015383,0.944676349063067
"OtB5174",0,0.0631024589598692,0,0.0280520168280512,0,0.217278036758562,0,0.00221999358259073,0,0,0,0.0764705408497372,0.0123463547933403,0.0698191257331683,0.0326528695575043,0.221505009262153,0,0.0886309528027123,0.180625124397929,0,0,0.00729751647438247,0,0.332265125016691,0.94539510972558
"OtB5175",0,0.0316964848000197,0,0.0275153421686388,0,0.230433779306568,0,0,0,0,0,0.0591552486374061,0.0171909703468007,0.11091084354939,0.0305714266982312,0.212253956630834,0,0.156815765028413,0.115012614388801,0,0,0.00844356844489768,0,0.344162096462129,0.941825827903519
"OtB5258",0.0257319904468635,0.00458151704973492,0.0198774478716587,0.025853100253341,0,0.231105561780847,0,0.0371476805207023,0,0,0,0.0597860619057407,0.00472470010809044,0.0948668521511767,0.0776365459805421,0.214861289265398,0.00627616339663453,0.0654669637576544,0.132084125511615,0,0,0,0.01,0.292451672725909,0.96308477203924
"OtB5177",0.0229084339525961,0.000782314073215665,0.00752013990278536,0.0194375530867097,0,0.197683682874616,0,0.00179950500953151,0,0,0,0.0852619075384708,0.0132974176870269,0.116364905648023,0.0113078193869129,0.220139876366717,0,0.165412796041695,0.12590683533854,0,0,0.0121768130931603,0,0.341590813895114,0.943339040313891
"OtB5264",0.0197045131237361,0,0.00148548848908854,0.0149785891949459,0,0.300846164898999,0.0104281673758132,0.025317608606011,0,0,0.00550979974152686,0.0423902431488872,0.0388254339141231,0.0744614901758964,0.0310468626705614,0.24777997082227,0.00818838349615378,0.102730361290888,0.0688216846627773,0,0,0.00748523838832181,0,0.408798480309606,0.911951337978716
