"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol"
"ENSG00000267701",284.352774440376,-8.95107460652847,0.971832781342284,-9.21050902827681,3.2458200460741e-20,6.32675243380764e-16,"ENSG00000267701",NA
"ENSG00000244720",229.357970320436,-8.6408165051609,0.946003161735525,-9.13402497440767,6.59988003889842e-20,6.4322430859104e-16,"ENSG00000244720",NA
"ENSG00000233154",684.961021698907,-10.2174267383573,1.20125363793877,-8.50563645816665,1.80602057160553e-17,1.17343176605783e-13,"ENSG00000233154","LINC01762"
"ENSG00000205846",595.963133919405,-9.83078852519201,1.17027821483529,-8.40038582327676,4.45014051062852e-17,2.16855347082928e-13,"ENSG00000205846","CLEC6A"
"ENSG00000245928",1235.91725373028,-10.9125362588595,1.30988972537055,-8.33088163644657,8.02425256423248e-17,3.12817461964039e-13,"ENSG00000245928","SDAD1-AS1"
"ENSG00000232458",1531.44507676972,-11.2154913557136,1.35806909476587,-8.2584099726142,1.47625747337863e-16,4.79586844518271e-13,"ENSG00000232458","LINC01450"
"ENSG00000143228",648.98617985879,-9.82875596514515,1.20213255238905,-8.17610000295892,2.93178695051258e-16,8.16377017705587e-13,"ENSG00000143228","NUF2"
"ENSG00000227973",675.191006193698,-10.1959942393844,1.25228340479546,-8.14192234788078,3.89050752124433e-16,9.32054615516758e-13,"ENSG00000227973",NA
"ENSG00000260591",864.041451205872,-10.5515483033524,1.29790137785669,-8.12969959302829,4.30355609462899e-16,9.32054615516758e-13,"ENSG00000260591",NA
"ENSG00000237276",669.58751018377,-10.1839396678811,1.25634974323468,-8.10597504613715,5.23241842438371e-16,1.01990299928087e-12,"ENSG00000237276",NA
"ENSG00000233346",649.674376123448,-9.78632118316277,1.20995800377138,-8.08814946689,6.05780398850422e-16,1.07344286676295e-12,"ENSG00000233346",NA
"ENSG00000231169",532.186746896738,-9.69142915909294,1.20333822036979,-8.05378653735004,8.02711655444571e-16,1.11259016698933e-12,"ENSG00000231169",NA
"ENSG00000228007",709.465497182997,-10.2671938505616,1.27694527617682,-8.04043371482733,8.95210461601557e-16,1.11259016698933e-12,"ENSG00000228007",NA
"ENSG00000261600",645.546537866875,-9.99178568917951,1.24634091139098,-8.01689617813167,1.08450713999576e-15,1.11259016698933e-12,"ENSG00000261600","LOC124906033"
"ENSG00000267475",653.641877201156,-9.96213697901586,1.23530085460423,-8.06454309643264,7.35102712476293e-16,1.11259016698933e-12,"ENSG00000267475",NA
"ENSG00000073598",796.410401816877,-10.2725460501612,1.28054715029281,-8.02199750927745,1.04039251473349e-15,1.11259016698933e-12,"ENSG00000073598","FNDC8"
"ENSG00000188833",670.192821609161,-9.88912425731541,1.22654166853135,-8.06260766432547,7.4683918954271e-16,1.11259016698933e-12,"ENSG00000188833","ENTPD8"
"ENSG00000156234",570.418693366401,-9.79138914649866,1.21977523588374,-8.02720768421297,9.97161993347866e-16,1.11259016698933e-12,"ENSG00000156234","CXCL13"
"ENSG00000258831",627.419165597684,-9.5527559462673,1.18848765945742,-8.03774096453678,9.15098226667615e-16,1.11259016698933e-12,"ENSG00000258831",NA
"ENSG00000204020",618.426002581155,-9.71489892514217,1.21415661580561,-8.00135567246917,1.23056768401707e-15,1.18765806715429e-12,"ENSG00000204020","LIPN"
"ENSG00000185955",613.369095604191,-10.0571944956215,1.25851635083942,-7.99131015573493,1.33512193424532e-15,1.18765806715429e-12,"ENSG00000185955","SPACDR"
"ENSG00000259209",484.950469546905,-9.71843343341098,1.21620019322806,-7.99081720881508,1.34047185909062e-15,1.18765806715429e-12,"ENSG00000259209",NA
