"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol"
"ENSG00000266422",677756.843264957,0.0493291220664651,0.263672967855224,0.187084487529076,0.851594390582112,0.971385020187904,"ENSG00000266422",NA
"ENSG00000258486",531501.718938968,0.0174041131980872,0.266793024902375,0.0652345135501789,0.947987281802761,0.993296646895291,"ENSG00000258486",NA
"ENSG00000265150",682421.580440576,0.035768411908442,0.256377137367694,0.139514826773119,0.889043340448155,0.980278132421405,"ENSG00000265150",NA
"ENSG00000202198",345422.061076948,-0.235607417279201,0.273345597742722,-0.861939680846658,0.388720711606571,0.798918611412408,"ENSG00000202198","RN7SK"
"ENSG00000252678",139090.165767569,-0.201065782402149,0.232713883828488,-0.864004240289918,0.387585561200362,0.798350104860129,"ENSG00000252678",NA
"ENSG00000259001",170323.749532117,0.0551632364218768,0.237214041189156,0.232546252934029,0.816113767006519,0.963089030979823,"ENSG00000259001",NA
"ENSG00000133316",64273.6401197233,-0.441183046460245,0.318688540083912,-1.38437060317287,0.166245005437506,0.625554628543284,"ENSG00000133316","WDR74"
"ENSG00000222328",68155.6110666202,-0.588446511507453,0.337577755981065,-1.74314361974863,0.081308530869437,0.490382158909942,"ENSG00000222328","RNU2-2"
"ENSG00000185303",52945.0400284496,-0.336220617635997,0.352085664753199,-0.954939809525269,0.339608136396511,0.766831904633934,"ENSG00000185303","SFTPA2"
"ENSG00000251562",107353.542509174,0.0177114363919706,0.280867261155179,0.0630598109552718,0.949718876785509,0.993819533026021,"ENSG00000251562","MALAT1"
"ENSG00000263934",80010.2825563587,-0.399799539148271,0.305469829029941,-1.30880205229396,0.190601411596233,0.649925754568578,"ENSG00000263934",NA
"ENSG00000202364",63540.1084790385,-0.519517878578661,0.289020552318583,-1.7975118876875,0.0722543926184018,0.470761854117474,"ENSG00000202364",NA
"ENSG00000199916",98585.634341032,-0.468414452528039,0.326398959495548,-1.43509787302011,0.15125920958774,0.608539355433257,"ENSG00000199916",NA
"ENSG00000122852",38396.9800714182,-0.825508423129464,0.337671886904157,-2.44470580804902,0.0144970341386175,0.257121191474005,"ENSG00000122852","SFTPA1"
"ENSG00000168484",57425.1219841893,-0.214452573947404,0.310520657706537,-0.690622567694277,0.489802761469222,0.846836564356756,"ENSG00000168484","SFTPC"
"ENSG00000124942",119517.779259036,0.0216355424340199,0.215509077123954,0.100392719985413,0.920032549178725,0.988332898165736,"ENSG00000124942","AHNAK"
"ENSG00000087086",9079.30299978179,0.0390372403574326,0.297001155967276,0.131438008146116,0.89542882330337,0.981576085277265,"ENSG00000087086","FTL"
"ENSG00000156508",35481.9597084932,-0.624076697041656,0.265380175895141,-2.35163269048494,0.0186912217845042,0.288920931818839,"ENSG00000156508","EEF1A1"
"ENSG00000245532",32845.7435199324,0.0534256791854458,0.380248464228036,0.140502024890247,0.888263352729881,0.980278132421405,"ENSG00000245532","NEAT1"
"ENSG00000168878",14447.9092569843,-0.0245041686331424,0.297685951012407,-0.0823155024609176,0.9343958270747,0.992006724473859,"ENSG00000168878","SFTPB"
"ENSG00000166710",17928.952900328,0.279408838804206,0.34861341619816,0.801486190208421,0.422850235669933,0.817166479376489,"ENSG00000166710","B2M"
"ENSG00000167995",15724.5048964858,0.974193822079811,0.48760772097484,1.99790483245871,0.0457269786454303,0.403367577595106,"ENSG00000167995","BEST1"
"ENSG00000167996",5748.10048311605,0.000329619166566225,0.312725842913422,0.00105401959587165,0.999159014193387,0.999742200562729,"ENSG00000167996","FTH1"
"ENSG00000075624",22538.3995533079,-0.278336141585287,0.271866845107067,-1.02379582723915,0.305931721719874,0.743313686129145,"ENSG00000075624","ACTB"
"ENSG00000222414",7311.23676000658,0.257346960468549,0.327171255261532,0.786581817106253,0.431526706802054,0.821909489393702,"ENSG00000222414","RNU2-59P"
"ENSG00000133112",10233.9550300494,0.215241438629417,0.298201681985328,0.721798204478295,0.470418553538328,0.8403041097479,"ENSG00000133112","TPT1"
"ENSG00000157765",6776.45214089492,0.739497044500403,0.370354955807347,1.99672512249324,0.0458550514843779,0.403706713429763,"ENSG00000157765","SLC34A2"
"ENSG00000240583",10711.2246667391,0.146449963379482,0.37356423402236,0.392034220735158,0.695032929046032,0.929202103552842,"ENSG00000240583","AQP1"
"ENSG00000202538",6799.94224467068,0.0874701102477919,0.339375357365164,0.257738543325275,0.796608697507372,0.957402242424989,"ENSG00000202538","RNU4-2"
"ENSG00000204592",13092.788229841,0.296266943940364,0.30630469667241,0.967229517401814,0.333429309344879,0.76371376001767,"ENSG00000204592","HLA-E"
"ENSG00000099194",2467.43772749085,-0.446140579581,0.365686807455323,-1.22000731359582,0.222462102423942,0.679850325189332,"ENSG00000099194","SCD"
"ENSG00000100234",19735.7358803368,-0.178361695215085,0.314720319337695,-0.566730790024722,0.570897098544578,0.882035540567487,"ENSG00000100234","TIMP3"
"ENSG00000200087",8068.4086730502,1.09145193203315,0.516399891652872,2.11357893306227,0.0345512467547636,0.371243845331059,"ENSG00000200087","SNORA73B"
"ENSG00000213853",13455.247353747,-0.0921071058670708,0.298670844798309,-0.30839001352566,0.75778557998049,0.946054987829354,"ENSG00000213853","EMP2"
"ENSG00000150991",13706.4798290329,0.165209242953283,0.324269904092045,0.509480654443923,0.61041535502902,0.900732032734201,"ENSG00000150991","UBC"
"ENSG00000206503",10174.7454015696,0.391588879852394,0.407321066222007,0.961376448030216,0.336362921932408,0.765160746346851,"ENSG00000206503","HLA-A"
"ENSG00000212232",10708.6712796184,-0.42455738442506,0.361814427139642,-1.17341198299205,0.240630634153985,0.691929850308309,"ENSG00000212232","SNORD17"
"ENSG00000197746",5200.33377458325,-0.0182121554206934,0.351422364011532,-0.0518241218709,0.958668834900789,0.994800784013194,"ENSG00000197746","PSAP"
"ENSG00000142541",9424.11017459175,-0.0625420765432432,0.371441746659812,-0.168376541155248,0.866287062063443,0.974430375322287,"ENSG00000142541","RPL13A"
"ENSG00000135821",5486.25450727279,0.0800948044501674,0.344124373576337,0.232749583000403,0.815955864669747,0.963089030979823,"ENSG00000135821","GLUL"
"ENSG00000234745",10559.522559862,-0.0138000852596635,0.343371822606398,-0.040189917608593,0.967941715720024,0.996045821586293,"ENSG00000234745","HLA-B"
"ENSG00000117984",2701.71687996245,-0.112475817833065,0.321793339275754,-0.34952811045191,0.72669287087814,0.938223131112332,"ENSG00000117984","CTSD"
"ENSG00000019582",7329.06240274304,-0.329997969567821,0.328617747422193,-1.0042000840078,0.315282181643889,0.750980653800246,"ENSG00000019582","CD74"
"ENSG00000130203",2882.74880496018,-0.518553618802417,0.317608495376582,-1.63268182794537,0.102535931281656,0.533705075570407,"ENSG00000130203","APOE"
"ENSG00000204525",12081.6742798962,0.431669494264125,0.357576822081449,1.207207703652,0.227352164411862,0.683296727685612,"ENSG00000204525","HLA-C"
"ENSG00000013588",8158.36778252913,-0.0675302671414905,0.303830808753781,-0.222262737009714,0.82410935816291,0.964465575292839,"ENSG00000013588","GPRC5A"
"ENSG00000184009",10197.2768909712,-0.66705704058054,0.327833464073048,-2.03474359296007,0.0418766793985012,0.393423720953581,"ENSG00000184009","ACTG1"
"ENSG00000026025",8014.87494472741,-0.16269542753962,0.274405411625243,-0.592901672660207,0.553246958544496,0.874069471078802,"ENSG00000026025","VIM"
"ENSG00000197956",6035.72316559771,0.0632674361064766,0.295342896034735,0.214216888084675,0.830377926966272,0.965534100865298,"ENSG00000197956","S100A6"
"ENSG00000167526",6650.24273264224,0.141323916757069,0.332042295634567,0.425620225540798,0.670384600020484,0.920934288787038,"ENSG00000167526","RPL13"
"ENSG00000164733",1761.35185688646,0.395948567185001,0.375993250220649,1.05307360425391,0.292307259361134,0.733211318787177,"ENSG00000164733","CTSB"
"ENSG00000034510",7733.81979303195,0.661549660891262,0.317261784556197,2.08518546227266,0.0370524689971627,0.381122282687438,"ENSG00000034510","TMSB10"
"ENSG00000105974",17639.5602412379,0.271116642008948,0.479798329648834,0.565063747110955,0.572030405712893,0.883029751180463,"ENSG00000105974","CAV1"
"ENSG00000242125",2439.71222681579,-0.215196003189204,0.302806445641345,-0.710671804668549,0.477287635656921,0.842160714790194,"ENSG00000242125","SNHG3"
"ENSG00000201808",3383.82154662316,0.734545462644755,0.434307068797862,1.69130441435811,0.0907786773789583,0.512207731489529,"ENSG00000201808",NA
"ENSG00000066405",5136.24783922294,0.834834350140822,0.429175489125608,1.94520509976395,0.051750298309586,0.418381092762526,"ENSG00000066405","CLDN18"
"ENSG00000241781",10161.3518884266,0.447273371907109,0.334304168758001,1.33792340540894,0.180921406520899,0.639931747168666,"ENSG00000241781",NA
"ENSG00000008988",5207.42450113392,-0.297599003520498,0.319661608126513,-0.930981375163191,0.351863198498138,0.775938167793382,"ENSG00000008988","RPS20"
"ENSG00000173369",2268.07719456902,-0.276838938751583,0.463833347917896,-0.596850010880604,0.550607524859743,0.87298209488906,"ENSG00000173369","C1QB"
"ENSG00000238881",11204.3508407359,-0.882468016354334,0.386837317554173,-2.28123807168824,0.0225343630323478,0.312699840085254,"ENSG00000238881",NA
"ENSG00000164587",6596.55716086388,0.74221454268689,0.422028940573907,1.75868162424494,0.0786316002473197,0.484138555012585,"ENSG00000164587","RPS14"
"ENSG00000116016",13103.323727516,-0.180667198365623,0.359983688321739,-0.501876068907182,0.615754699977617,0.902632177822614,"ENSG00000116016","EPAS1"
"ENSG00000134352",5614.4359568555,-0.185213445683165,0.283587165195773,-0.653109408372922,0.513685747269016,0.85715874538836,"ENSG00000134352","IL6ST"
"ENSG00000139644",9398.59728055499,1.33067272539124,0.47334059052465,2.81123730360062,0.00493513723895752,0.152934332371637,"ENSG00000139644","TMBIM6"
"ENSG00000137154",5115.21176160546,0.147982843246875,0.266254634364722,0.555794431897717,0.578351392386078,0.886093165332377,"ENSG00000137154","RPS6"
"ENSG00000239002",4547.78442064394,-0.0308618634239234,0.236341105914142,-0.130581869389809,0.896106086032973,0.98172277525635,"ENSG00000239002","SCARNA10"
"ENSG00000256329",5351.05850982515,0.348132713455593,0.276550502279436,1.25883956306768,0.208088287058219,0.667556706398988,"ENSG00000256329",NA
"ENSG00000111640",5855.88353904707,0.0248044436134014,0.337606020118005,0.0734715678492087,0.941430868480293,0.992979419152287,"ENSG00000111640","GAPDH"
"ENSG00000092841",7050.39530915164,0.464587653258642,0.390094085541756,1.19096307910803,0.233668079357919,0.688430804541196,"ENSG00000092841","MYL6"
"ENSG00000108298",5580.42678547224,-0.367016120084789,0.305878288620032,-1.19987633558622,0.230187371816375,0.685534527498002,"ENSG00000108298","RPL19"
"ENSG00000127603",14483.3443880981,-0.596141274582951,0.296896782909675,-2.0079074914204,0.0446531229669839,0.399595844226652,"ENSG00000127603","MACF1"
"ENSG00000175899",11042.7046423058,-0.19114742171319,0.419538302062716,-0.455613756296833,0.64866774926537,0.914345050340204,"ENSG00000175899","A2M"
"ENSG00000163220",746.398245550474,0.17408354475468,0.34464872180913,0.505104280790252,0.613485594859906,0.902066972964789,"ENSG00000163220","S100A9"
"ENSG00000089157",4932.77386196631,0.0920633182213012,0.425339414154636,0.216446713277859,0.828639557211856,0.965450439336587,"ENSG00000089157","RPLP0"
"ENSG00000231500",4438.74275011766,0.452245254555186,0.301724647703115,1.49886745414374,0.13390802103924,0.58694291569527,"ENSG00000231500","RPS18"
