"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071805","GO:0071805","potassium ion transmembrane transport","21/485","208/18860",0.100961538461538,3.92605075337034,6.8939375445949,1.03442288714678e-07,0.000216523197999306,0.000184748786235916,"KCND2/ATP12A/SLC24A4/NALCN/KCNS2/KEL/KCNA3/KCNQ5/KCNAB1/HPN/KCNJ8/CAV1/KCNMB4/KCNN2/KCNK3/AQP1/CACNA1D/KCNG1/AMIGO1/SLC24A2/KCNK5",21
"GO:0031589","GO:0031589","cell-substrate adhesion","29/485","369/18860",0.0785907859078591,3.0561282932417,6.48036874400339,1.07642653740644e-07,0.000216523197999306,0.000184748786235916,"CCL21/FAT2/FAM107A/COL17A1/SORBS1/LYVE1/FBLN1/SPOCK2/TNXB/ITGB8/CSPG5/EFNA1/FERMT1/ANGPT2/LYPD3/EGFL6/FBLN2/TEK/EMP2/FBLN5/THSD1/NDNF/FGA/ITGA10/CCR7/HAS2/ITGB7/ITGA11/NPY",29
"GO:0042391","GO:0042391","regulation of membrane potential","33/485","474/18860",0.069620253164557,2.70729479316195,6.11604376499116,2.45713394282763e-07,0.000283998379601539,0.000242322099475547,"KCND2/LRRK2/SLC39A8/RELN/SLC24A4/NALCN/SCN1A/KCNS2/KCNA3/KCNQ5/LTF/TRPA1/NTRK3/KCNJ8/SLC4A8/GRIK3/CAV1/KCNMB4/KCNN2/GABRD/KCNK3/SCN3B/ADRA1A/CACNA1D/GRIA3/KCNG1/SHANK3/MEF2C/PRKCZ/MAPT/KCNK5/SCN1B/SLC4A11",33
"GO:0006813","GO:0006813","potassium ion transport","22/485","240/18860",0.0916666666666667,3.56460481099656,6.49610088396442,2.82374724933173e-07,0.000283998379601539,0.000242322099475547,"KCND2/ATP12A/SLC24A4/NALCN/KCNS2/KEL/KCNA3/KCNQ5/KCNAB1/HPN/KCNJ8/CNGA4/CAV1/KCNMB4/KCNN2/KCNK3/AQP1/CACNA1D/KCNG1/AMIGO1/SLC24A2/KCNK5",22
"GO:0007411","GO:0007411","axon guidance","21/485","243/18860",0.0864197530864197,3.36057019218531,6.01702383605565,1.37936027230254e-06,0.000857592277247439,0.000731742066303989,"SLIT3/NGFR/RELN/ANOS1/SEMA5A/GDNF/PLEKHG4B/EFNA1/LHX9/PTPRH/SEMA3F/PLXNA4/NKX2-1/NECTIN1/NELL2/MYPN/SEMA3C/TUBB3/BMP7/SCN1B/NRXN3",21
"GO:0097485","GO:0097485","neuron projection guidance","21/485","244/18860",0.0860655737704918,3.34679736352882,5.99437413067415,1.47388019049927e-06,0.000857592277247439,0.000731742066303989,"SLIT3/NGFR/RELN/ANOS1/SEMA5A/GDNF/PLEKHG4B/EFNA1/LHX9/PTPRH/SEMA3F/PLXNA4/NKX2-1/NECTIN1/NELL2/MYPN/SEMA3C/TUBB3/BMP7/SCN1B/NRXN3",21
"GO:0006959","GO:0006959","humoral immune response","24/485","307/18860",0.0781758957654723,3.0399946270862,5.85474069063948,1.49220629896398e-06,0.000857592277247439,0.000731742066303989,"C7/CCL21/KRT6A/C8B/CXCL1/CXCL5/TF/CD5L/LTF/CFD/CALCA/CXCL8/A2M/ALOX5/FGA/CCL7/CCR7/IL1B/PGC/MEF2C/RNASE7/CXCL9/C4A/NPY",24
"GO:0048486","GO:0048486","parasympathetic nervous system development","6/485","19/18860",0.31578947368421,12.2799782962561,7.99189216674672,5.72217583351405e-06,0.00287753917227838,0.00245526518330122,"TFAP2A/GDNF/ACKR3/SEMA3F/PLXNA4/SIX1",6
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","14/485","133/18860",0.105263157894737,4.09332609875203,5.81612787806285,8.58479738814683e-06,0.00383740443250163,0.0032742718459353,"CCL21/FBLN1/SPOCK2/CSPG5/FERMT1/EGFL6/FBLN2/TEK/EMP2/NDNF/FGA/CCR7/HAS2/NPY",14
"GO:0007409","GO:0007409","axonogenesis","29/485","472/18860",0.0614406779661017,2.3892189411148,4.96582000200845,1.50261027028238e-05,0.00594366080783936,0.00507143867351261,"SLIT3/NGFR/RELN/KEL/ANOS1/NTRK3/SEMA5A/GDNF/PLEKHG4B/EFNA1/LHX9/PTPRH/SEMA3F/PLXNA4/NKX2-1/BCL11A/NECTIN1/NELL2/MYPN/SLITRK6/SEMA3C/LPAR3/PTPRZ1/AMIGO1/TUBB3/BMP7/MAPT/SCN1B/NRXN3",29
