"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_symbol"
"ENSG00000133661",171.112049260437,3.83256497749568,0.368117793735536,10.4112461899874,2.20318459646241e-25,2.80289144361948e-21,"ENSG00000133661","SFTPD"
"ENSG00000134020",79.7292250013459,4.46019360207524,0.460431511223901,9.68698599759023,3.42486421696475e-22,2.17855612841128e-18,"ENSG00000134020","PEBP4"
"ENSG00000174837",104.505421255356,-4.60928572887871,0.48806431925275,-9.44401290374135,3.58769815541429e-21,9.12853918663612e-18,"ENSG00000174837","ADGRE1"
"ENSG00000112936",329.158564592822,3.78696308442658,0.398873669422865,9.49414156593987,2.22033189774354e-21,9.12853918663612e-18,"ENSG00000112936","C7"
"ENSG00000166961",91.3400412068758,4.34351848604886,0.458854684952599,9.46600008344157,2.90765166252485e-21,9.12853918663612e-18,"ENSG00000166961","MS4A15"
"ENSG00000137077",70.6843828782969,5.91241490390511,0.642626621374006,9.20038900857191,3.56656222483742e-20,7.56230077073027e-17,"ENSG00000137077","CCL21"
"ENSG00000124491",496.645815075763,3.44252713693858,0.380940073455304,9.0369256920472,1.61139842960912e-19,2.92860154592675e-16,"ENSG00000124491","F13A1"
"ENSG00000167434",74.9681043668806,3.77176295272206,0.418173481378064,9.01961296132997,1.88754982707434e-19,3.00167611250497e-16,"ENSG00000167434","CA4"
"ENSG00000078081",402.326961211469,2.67972910134606,0.301889097090157,8.87653488375493,6.89755086373115e-19,9.75007134315419e-16,"ENSG00000078081","LAMP3"
"ENSG00000184408",55.7558512710088,4.53287770815928,0.519105642946182,8.73209099102247,2.50006962423887e-18,3.10869769152273e-15,"ENSG00000184408","KCND2"
"ENSG00000286619",76.1031197222446,5.82531707299871,0.667742662539908,8.72389529649165,2.68791657025233e-18,3.10869769152273e-15,"ENSG00000286619","ENSG00000286619"
"ENSG00000176435",136.378642765218,2.94598935368543,0.342734203223537,8.5955510887952,8.28661466883703e-18,8.78519265141206e-15,"ENSG00000176435","CLEC14A"
