"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"APLNR",336.010147126558,4.98806396516473,0.223472733087037,22.3206826902771,2.32709351991339e-110,4.45917660285803e-106,"APLNR"
"CHIA",45.2176790499728,-3.41060655572886,0.180408577835285,-18.9049023979491,1.0393168962081e-79,9.95769518256979e-76,"CHIA"
"IL1R2",215.188781310604,-3.20442244503636,0.175318265805225,-18.2777443657606,1.24468260142878e-74,7.95020266952607e-71,"IL1R2"
"FMO5",737.059502416538,-3.08910398628534,0.186038486537486,-16.6046501655608,6.44950534880783e-62,3.08963553734639e-58,"FMO5"
"CCL19",212.168076504298,4.14710373022829,0.251910571582434,16.4626029950919,6.81075473202091e-61,2.61015364349969e-57,"CCL19"
"TACC2",839.945220049282,-2.30210894215637,0.141988014228834,-16.2134033260455,4.05478871312303e-59,1.29496435534772e-55,"TACC2"
"MCCC1",578.419956275174,-1.63663154288136,0.10651448528934,-15.3653424549305,2.79557566974888e-53,7.65268871196114e-50,"MCCC1"
"CXCL12",654.23827873709,2.83571131582885,0.192865530984438,14.7030488099901,6.16216209545011e-49,1.47599187591269e-45,"CXCL12"
"GSTA4",458.100943350364,-1.30629563719172,0.092745625963689,-14.084714223646,4.71562511780593e-45,1.00400898341552e-41,"GSTA4"
"NUDT16",386.808009735088,-1.36334200920021,0.10102588894251,-13.4949766190727,1.67408262890435e-41,3.20787713350652e-38,"NUDT16"
"TIMP4",34.1961913442976,-2.98017004346049,0.222196159368241,-13.4123382327303,5.1198762400068e-41,8.91882441009184e-38,"TIMP4"
"MLPH",1384.70827513652,-1.50695515275522,0.112904938550855,-13.3471145912404,1.23126423198327e-40,1.96612376777195e-37,"MLPH"
"IRS2",246.865986925632,-1.64357090800379,0.126979674638084,-12.9435747310605,2.55460332317627e-38,3.49652206276455e-35,"IRS2"
"MXRA5",257.559885018359,3.16638885722992,0.244614728157232,12.9443917015277,2.52757342135115e-38,3.49652206276455e-35,"MXRA5"
"COL10A1",135.382652689016,3.34942900913431,0.262113010539655,12.7785683062366,2.16009182123299e-37,2.75944529856444e-34,"COL10A1"
"C1orf54",182.777902860607,1.62481528331919,0.127538494158147,12.739802943764,3.55291073118065e-37,4.25505471443022e-34,"C1orf54"
"EDA2R",114.80931079009,2.17471046776528,0.172508443575517,12.6064001430358,1.94684225155907e-36,2.1944347779044e-33,"EDA2R"
"DIO2",376.617391574965,3.96523493152207,0.320981407166404,12.3534723289016,4.66534474692611e-35,4.96651866892212e-32,"DIO2"
"CLDN2",217.027594518572,5.09248415959043,0.412633220375541,12.3414303747908,5.41846215496944e-35,5.46466167439602e-32,"CLDN2"
"ROBO1",340.035986156875,1.10577465593577,0.0899232673651987,12.2968691900949,9.41532809653716e-35,9.02082584929225e-32,"ROBO1"
"HMCN1",852.750197619034,1.62402299126599,0.132652401606815,12.2426957340707,1.83824045520915e-34,1.67735064774847e-31,"HMCN1"
"ANGPTL2",182.792807863178,1.59404935706203,0.13074544713842,12.1920066201189,3.42873256786368e-34,2.98642606660927e-31,"ANGPTL2"
"ASPN",1106.78760977312,2.73189766638473,0.226124391390221,12.0813931199059,1.32456316910842e-33,1.10353388897633e-30,"ASPN"
"S100A14",825.669573858118,-1.88873891605126,0.156887846006293,-12.0387841641698,2.22206417117464e-33,1.77413306866869e-30,"S100A14"
"WFDC12",14.9285117240305,-4.6828868383548,0.390510020714032,-11.9917200326699,3.92665742614133e-33,3.00970438398881e-30,"WFDC12"
"COL15A1",263.588288245407,2.65949492984126,0.224829930790762,11.8289185095926,2.76683605355702e-32,2.03915817147152e-29,"COL15A1"
"NREP",283.993928255365,1.83178154585814,0.15549694905191,11.7801767624819,4.93893910687472e-32,3.50518337651605e-29,"NREP"
"FKBP5",1257.1563676882,-2.2482598212291,0.192434550446255,-11.6832440744939,1.55254924953084e-31,1.06249816855392e-28,"FKBP5"
"LAMP5",45.7528878417804,3.8653754177933,0.340738416093812,11.3441139455467,7.93256638670815e-30,5.2415116242104e-27,"LAMP5"
"ENAH",1751.26395277571,1.07010855627978,0.0945061334088627,11.3231651500348,1.00766751814551e-29,6.43630832756808e-27,"ENAH"
"PSD3",320.689502537618,1.12294884293968,0.101430949011724,11.0710671040837,1.733242752222e-28,1.0078889713245e-25,"PSD3"
"HSD17B6",383.839294840013,-2.38618710375369,0.216673927559869,-11.0128021891068,3.31528952894232e-28,1.86845817510567e-25,"HSD17B6"
"ZBTB16",487.626834194295,-3.7656104801214,0.342102852211217,-11.0072466680181,3.52615473895647e-28,1.93051934593954e-25,"ZBTB16"
"COL14A1",894.323173333044,2.55449034913484,0.232212335538766,11.0006660206404,3.79319873799443e-28,2.01903539492915e-25,"COL14A1"
"LPPR4",79.8877570245224,2.34992007134677,0.213753631356517,10.9935913436126,4.10269423064077e-28,2.1247520769605e-25,"LPPR4"
"SULF1",412.935363003408,2.44252671812121,0.224652097137355,10.8724857201214,1.55894661227531e-27,7.65962435497934e-25,"SULF1"
"SLAMF7",230.493147477426,2.24868754906297,0.209253106261999,10.7462564796886,6.17158128946872e-27,2.95649601671999e-24,"SLAMF7"
"PRTFDC1",82.1650671194547,1.41703849289977,0.132123200498116,10.7251299359796,7.75779627238605e-27,3.62572907735272e-24,"PRTFDC1"
"FABP5",1565.94477102762,-1.46968610174596,0.137724647912589,-10.671191569709,1.38834430219433e-26,6.33415559967803e-24,"FABP5"
"CXCL14",172.759587984056,4.35105360089896,0.409283621860757,10.6309008435701,2.14034952537164e-26,9.53799479190032e-24,"CXCL14"
"CCL5",898.97922237463,2.24274826948209,0.212714073473179,10.5434879454033,5.44415120124722e-26,2.30717560344568e-23,"CCL5"
"CLEC4E",100.048092960758,-2.70501212052323,0.256646195012902,-10.539848916861,5.65897366464601e-26,2.30717560344568e-23,"CLEC4E"
"GPIHBP1",47.7924195649104,-3.29116197593741,0.312225560762866,-10.5409754662497,5.59158737187846e-26,2.30717560344568e-23,"GPIHBP1"
"FHL2",290.131727951414,2.00324121483252,0.192376016979957,10.4131546451616,2.15944789453329e-25,8.35053047961312e-23,"FHL2"
"LOC100130231",92.1325861870182,2.55224563180061,0.245051904267054,10.415122622427,2.11524820270869e-25,8.35053047961312e-23,"LOC100130231"
"MFAP2",317.982188688753,2.26366227807172,0.21740271675127,10.4122998640425,2.17892977758405e-25,8.35053047961312e-23,"MFAP2"
"ANTXR1",935.90911671363,1.38166428144652,0.132779064479904,10.4057389382769,2.33437878779105e-25,8.77085614346121e-23,"ANTXR1"
"NEDD4L",1082.86371125243,-1.16223752587939,0.112117102305335,-10.3662822351063,3.52991996604781e-25,1.30077550748862e-22,"NEDD4L"
"PTGDS",1823.40550826093,1.73590850310783,0.168205478454117,10.3201662577319,5.71241550749096e-25,2.06530765951966e-22,"PTGDS"
"IGFBP7",948.439552758138,1.53171019731924,0.149499881448078,10.245561283948,1.23903616992701e-24,4.39674279410027e-22,"IGFBP7"
"FRMD6",278.179032980198,1.57680558261653,0.153999904936817,10.239003610187,1.32594834395968e-24,4.61960403035554e-22,"FRMD6"
"HIF3A",337.550256430284,-2.66807518826501,0.260886033805193,-10.2269759302535,1.50134443453241e-24,5.13727893830537e-22,"HIF3A"
"C12orf75",78.9716962364223,1.76586296973645,0.173214322971668,10.1946706221591,2.09453307123798e-24,7.04130573878283e-22,"C12orf75"
"FMO1",63.8274171842521,2.58957828821103,0.254186399938526,10.1877137755494,2.24993041996307e-24,7.43330460471249e-22,"FMO1"
"FCHO2",696.494173973714,-1.0468812291843,0.10292542251966,-10.1712599623707,2.66439561485041e-24,8.65341504606162e-22,"FCHO2"
"DPYSL3",681.642187140708,1.23850866877186,0.122399266798506,10.1185954880816,4.56925171401034e-24,1.45926668906444e-21,"DPYSL3"
"HTRA1",345.815258559435,1.35882588666373,0.134343899549619,10.1145336053153,4.76280019638827e-24,1.49614389119987e-21,"HTRA1"
"PDK4",1688.53097214381,-2.34787876770586,0.233284577966613,-10.0644405565544,7.93370986737902e-24,2.45202820126963e-21,"PDK4"
"ZNF683",69.8188147728187,3.05548762662657,0.305110414090939,10.0143668833142,1.31803080978269e-23,4.00890577413587e-21,"ZNF683"
"SFRP2",827.668643775386,4.31696028119848,0.431533921782268,10.0037565143642,1.4672333425492e-23,4.39298832967622e-21,"SFRP2"
"NECAB1",177.342176019495,-1.55602898202069,0.155676390105419,-9.9952791875955,1.59836196819593e-23,4.71197108224159e-21,"NECAB1"
"PMM1",658.44008060141,-1.1797834958731,0.119157737038143,-9.90102300696968,4.12038417853121e-23,1.1962848731669e-20,"PMM1"
"AASS",1371.27716877991,-1.27275845462034,0.12873745635064,-9.88646576295359,4.7655587100361e-23,1.36294979107032e-20,"AASS"
"CBS",84.380213912736,-2.48941943264226,0.25307401190624,-9.83672489281335,7.82156181852389e-23,2.20407011127286e-20,"CBS"
"PLIN5",72.3656419346934,-2.18230253058211,0.222265752976887,-9.81843806953493,9.3785352133077e-23,2.60451437329568e-20,"PLIN5"
"RGS4",81.3248069571649,3.40860816434605,0.348667747124064,9.77609254788111,1.42610263679876e-22,3.90385410376254e-20,"RGS4"
"PIP5K1B",270.295826887953,-1.38925008268483,0.142575345953498,-9.74397132543483,1.95751306711993e-22,5.28307963269747e-20,"PIP5K1B"
"DOK5",34.0650285064703,2.89395840027281,0.297962845908338,9.71248073379953,2.66764057481063e-22,7.00237379377005e-20,"DOK5"
"ECM2",283.957292849699,1.36382985702405,0.140673988870421,9.6949682594151,3.1673614896464e-22,8.20175417089247e-20,"ECM2"
"PLTP",1056.26744692541,1.32528558593354,0.136869851974943,9.68281595114284,3.56751815184797e-22,9.11477104342811e-20,"PLTP"
"CTHRC1",112.139567186272,2.34575988966876,0.242321725687802,9.68035318752616,3.65451295495991e-22,9.21418121617655e-20,"CTHRC1"
"CNTROB",301.77462257238,-1.1240874959487,0.116641635696374,-9.63710333139341,5.57386117061074e-22,1.38282274436301e-19,"CNTROB"
"DUOX1",1240.70544970929,-2.18386544761924,0.226761950918619,-9.63065205062991,5.93516487718563e-22,1.43961556172951e-19,"DUOX1"
"CD248",106.308428484049,2.40634818969342,0.25013361020012,9.62025130396596,6.56705236411055e-22,1.57297321751358e-19,"CD248"
"BNIP3",390.503237777887,-1.15827198331895,0.121065003853968,-9.56735593645287,1.09674586382144e-21,2.59454867191932e-19,"BNIP3"
"ISM1",69.3522758041039,1.69132025504283,0.177639142273769,9.5211012246178,1.71353484872411e-21,4.00423838673797e-19,"ISM1"
"PAMR1",215.161970436946,2.26780946325962,0.238367341023396,9.51392692271981,1.83597913274607e-21,4.23867857128678e-19,"PAMR1"
"ITGA10",221.502025411022,-1.64783692259821,0.173761765221589,-9.48331136310001,2.46339097475574e-21,5.61946403074637e-19,"ITGA10"
"ANK2",457.200575495538,1.79908797043763,0.189745853127919,9.48156674193435,2.50493356281735e-21,5.64700434478896e-19,"ANK2"
"SSC5D",68.6949977277212,2.54417908062624,0.268722340399536,9.46768726724977,2.86107953325169e-21,6.37488442048476e-19,"SSC5D"
"ACSL1",1278.49503356384,-1.57785644238067,0.166841817730701,-9.45720002240374,3.16299322107439e-21,6.96658346002615e-19,"ACSL1"
"COL6A3",3327.9921213477,1.99603872711963,0.211527184084726,9.43632250273863,3.86092503980544e-21,8.40716427417634e-19,"COL6A3"
"SERPINF2",49.1973930125114,-1.61595279154511,0.171377288105619,-9.4292120584217,4.13181058099223e-21,8.89592745539023e-19,"SERPINF2"
"TDO2",181.744245102003,3.63638078144334,0.385866844955792,9.42392648909743,4.34527583471785e-21,9.25157506054038e-19,"TDO2"
