"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"A1BG",46.0366932806574,0.384827381657783,0.209887718100874,1.83349166468536,0.0667294870107121,0.182043056677002,"A1BG"
"A1BG-AS1",10.8406660601942,0.425238895427766,0.273873769489072,1.55268208496591,0.120499104354285,0.277173187522043,"A1BG-AS1"
"A1CF",17.5269019416451,-0.190131672332145,0.50051197090607,-0.37987437540795,0.704038669486633,0.843619274777382,"A1CF"
"A2M",42572.3830181659,0.639344496004155,0.201622470135031,3.1709982303856,0.00151916068596849,0.00947904821378318,"A2M"
"A2M-AS1",53.6815548055934,0.873798977990612,0.181709421607664,4.80877089509022,1.51861131526324e-06,2.41490705585678e-05,"A2M-AS1"
"A2ML1",22.0106480228935,0.269346597650415,0.323783085621755,0.831873589484123,0.405480300683829,0.61489317967842,"A2ML1"
"A2MP1",14.7383174250811,0.54259811172771,0.227111989394129,2.38912138973909,0.0168887211305392,0.0650757438776176,"A2MP1"
"A4GALT",20.3684981293876,-0.443779779249438,0.25523903155758,-1.73868305541398,0.0820905281600741,0.211595328084172,"A4GALT"
"A4GNT",5.97640903169637,0.517151651028413,0.637558147874297,0.811144289744653,0.417282814016206,0.626626247204591,"A4GNT"
"AAAS",510.839079078179,0.195926036055362,0.0769098255765875,2.5474773162794,0.0108504907090031,0.0458674394365579,"AAAS"
"AACS",104.15947955196,-0.230909151712881,0.115915469596611,-1.99204776132514,0.0463658177596893,0.139420313958734,"AACS"
"AACSP1",3.50586869357684,-0.0392588772613396,0.44890648249778,-0.0874544672264423,0.930310276592156,0.965763672806822,"AACSP1"
"AADAC",162.054056924318,-0.876440210413364,0.306925565020363,-2.85554645913975,0.00429628366515981,0.0219710135019462,"AADAC"
"AADACL2",9.29479313640461,1.03093550764504,0.533717010911615,1.93161448214692,0.053407107011064,0.1548474783698,"AADACL2"
"AADACL3",0.725551712289554,1.15876873689607,1.23300003581619,0.939796190783572,0.347322113118425,NA,"AADACL3"
"AADACL4",2.03608263471087,-0.482728181315078,0.670833381555064,-0.719594752717974,0.471774543729388,0.674285358912697,"AADACL4"
"AADAT",39.8765268856604,-0.0194568681170952,0.212304406528178,-0.0916460870279333,0.92697923334692,0.963953767265083,"AADAT"
