"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","15/244","154/9376",0.0974025974025974,3.74281456248669,5.60972856836864,1.08415670771868e-05,0.00293806467791762,0.00268186132961989,"5649/2321/131873/7148/3696/2324/55612/256076/3384/2243/8515/10319/3695/80310/22801",15
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","24/244","362/9376",0.0662983425414365,2.54759532651028,4.90851946905092,2.32533777004423e-05,0.00315083267840993,0.00287607566294944,"4804/5649/2321/131873/2250/7148/3696/2668/2324/1942/285/256076/7010/3575/8515/7039/2261/10319/23566/4602/2057/3695/80310/22801",24
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","20/244","298/9376",0.0671140939597315,2.57894157773132,4.52769020545778,9.66279386012358e-05,0.00867311440591471,0.00791680670184485,"6366/4804/3598/2919/6374/7850/57007/3552/3576/3624/55540/3575/6354/1236/3553/64109/3589/2057/4283/655",20
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","16/244","212/9376",0.0754716981132075,2.90009279307145,4.5740172789044,0.000128016448795789,0.00867311440591471,0.00791680670184485,"9002/4804/2321/2250/2324/5909/1942/285/9771/7010/196883/2261/5330/23566/80310/5590",16
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/244","95/9376",0.105263157894737,4.04486626402071,4.87562436479735,0.000171913475420069,0.00931771036776775,0.00850519299446659,"1513/2919/2321/6374/3118/3552/3576/7010/3553/3589",10
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","9/244","89/9376",0.101123595505618,3.88579848959293,4.47116690758109,0.000489836446681217,0.022124279508435,0.0201950113982607,"5649/131873/7148/3696/256076/8515/10319/3695/22801",9
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","14/244","203/9376",0.0689655172413793,2.65008479366874,3.88504616915531,0.000833384424970046,0.0319027476094165,0.0291207834073136,"5649/2321/131873/7148/3696/2324/256076/2013/857/8515/10319/3695/80310/22801",14
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","12/244","160/9376",0.075,2.88196721311475,3.92462721676057,0.000941778527215248,0.0319027476094165,0.0291207834073136,"7122/51208/6693/3118/3696/3384/5818/90952/80380/84189/3695/9369",12
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","9/244","103/9376",0.087378640776699,3.35763170459971,3.93262056122638,0.00141190888060551,0.0425141451826771,0.0388068522739527,"732/2919/6317/7850/3576/4843/3553/5330/10319",9
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","7/244","68/9376",0.102941176470588,3.9556412729026,3.99830197506879,0.0018611102334895,0.0470812960920814,0.0429757412376738,"125/8630/54578/195814/54658/1543/54579",7
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/244","88/9376",0.0909090909090909,3.49329359165425,3.84106143514563,0.00200517873328336,0.0470812960920814,0.0429757412376738,"730/2162/9002/732/1675/2/2243/720",8
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","17/244","300/9376",0.0566666666666667,2.17748633879781,3.38818301386263,0.00213165546634901,0.0470812960920814,0.0429757412376738,"4804/2321/2250/2668/2324/1942/3552/285/9254/7010/776/7039/3553/2261/4208/80310/4137",17
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","13/244","201/9376",0.0646766169154229,2.48527852540576,3.47936903537175,0.00225851235866073,0.0470812960920814,0.0429757412376738,"4804/7704/7113/2321/7850/3576/7185/2892/6495/4208/3695/2138/2078",13
