"Query.Name","Rank","TF","Score","Library","Overlapping_Genes","n_genes"
"gene_set_query",5,"TP63",31.6,"Literature ChIP-seq,36;ARCHS4 Coexpression,16;Enrichr Queries,85;ReMap ChIP-seq,5;GTEx Coexpression,16","COL17A1,GPM6A,TENM4,GALNT15,FHL2,CDCA7,FBLN2,NALCN,TP53AIP1,ALDH3B2,CTSK,MS4A15,CCR7,ITGB7,TNS4,IL13RA2,HES2,PAMR1,GRIA3,KRT6A,CAP2,TFAP2A,NGFR,IL11,PLLP,LGI4,EYA2,ZBTB16,SYT16,CYP4B1,PRG4,PDCD1LG2,ANO4,BMP7,CLDN5,GJB2,PKP1,TRIM55",38
"gene_set_query",1,"TCF21",16,"Literature ChIP-seq,32;ARCHS4 Coexpression,24;Enrichr Queries,4;GTEx Coexpression,4","CETP,SFTPA2,NOTCH4,FHL2,FAM107A,FBLN1,PRELP,CHRDL2,FBLN2,CTSK,PEBP4,CA4,MS4A15,SLC39A8,CCDC33,TNS4,PAMR1,AMZ1,RSPO4,CAP2,EGFL6,COL24A1,LUM,ZBTB16,MFAP4,CLDN5,DES,PRR15L,COL6A6,TRIM55",30
"gene_set_query",2,"IRX6",18.33,"ARCHS4 Coexpression,9;Enrichr Queries,2;GTEx Coexpression,44","COL17A1,BTNL9,TFAP2A,NGFR,EGFL6,PCDH9,EYA2,ZBTB16,NOTCH4,FAM107A,CACNA2D2,PRELP,BMP7,FBLN2,ALDH3B2,DES,DOK5,PKP1,TNS4,SHANK3,PLXNA4,GPIHBP1",22
"gene_set_query",7,"MEOX2",39,"ARCHS4 Coexpression,17;Enrichr Queries,15;GTEx Coexpression,85","BTNL9,NGFR,EGFL6,LGI4,LUM,ZBTB16,NOTCH4,FBLN1,PRELP,FBLN2,PDGFRL,CDH6,MFAP4,CTSK,COL6A6,IL13RA2,PAMR1,GPIHBP1",18
"gene_set_query",3,"ZNF750",19.25,"ARCHS4 Coexpression,30;Enrichr Queries,25;ReMap ChIP-seq,11;GTEx Coexpression,11","COL17A1,TFAP2A,PLLP,LGI4,IL1R2,ZBTB16,FBLN1,BMP7,TP53AIP1,ALDH3B2,GJB2,PRR15L,MB,PKP1,TNS4,HES2,KRT6A",17
"gene_set_query",6,"ZBTB7C",38.67,"ARCHS4 Coexpression,15;Enrichr Queries,84;GTEx Coexpression,17","TFAP2A,TENM4,EYA2,ZBTB16,FHL2,CYP4B1,FBLN2,BMP7,TP53AIP1,ALDH3B2,GJB2,BPIFB1,PRR15L,ITGA11,PKP1,CCDC33,HES2",17
"gene_set_query",8,"LHX6",42,"ARCHS4 Coexpression,57;Enrichr Queries,40;GTEx Coexpression,29","BTNL9,NGFR,GALNT15,NOTCH4,ZBTB16,FHL2,FBLN2,BMP7,NALCN,CLDN5,GSTA4,TUBB3,CA4,TAGLN3,SHANK3,PLXNA4,GRIA3",17
"gene_set_query",12,"MEOX1",63.67,"ARCHS4 Coexpression,3;Enrichr Queries,12;GTEx Coexpression,176","BTNL9,EGFL6,LUM,GALNT15,NOTCH4,ZBTB16,FBLN1,PRELP,FBLN2,CLDN5,MFAP4,HAS2,CPXM1,PAMR1,SHANK3,GPIHBP1",16
"gene_set_query",10,"TBX20",54.33,"ARCHS4 Coexpression,74;Enrichr Queries,28;GTEx Coexpression,61","TFAP2A,TENM4,LUM,ZBTB16,FHL2,FBLN2,BMP7,DES,MB,PEBP4,HAS2,CCDC141,TRIM55,PLXNA4,CAP2",15
"gene_set_query",15,"PRDM6",72.33,"ARCHS4 Coexpression,122;Enrichr Queries,7;GTEx Coexpression,88","TFAP2A,TENM4,EYA2,LUM,HHIP,ZBTB16,PRELP,FBLN1,PRG4,BMP7,MFAP4,FGF14,ITGA10,ITGA11,HAS2",15
"gene_set_query",4,"FOXN1",19.67,"ARCHS4 Coexpression,31;Enrichr Queries,5;GTEx Coexpression,23","COL17A1,TFAP2A,EYA2,ZBTB16,FBLN2,TP53AIP1,ALDH3B2,GJB2,PKP1,HAS2,CCR7,TNS4,HES2,KRT6A",14
"gene_set_query",14,"IRX4",69.67,"ARCHS4 Coexpression,62;Enrichr Queries,133;GTEx Coexpression,14","COL17A1,TFAP2A,EYA2,ZBTB16,FHL2,BMP7,TP53AIP1,ALDH3B2,GJB2,PKP1,TNS4,HES2,KRT6A",13
"gene_set_query",11,"EBF2",56,"ARCHS4 Coexpression,70;GTEx Coexpression,42","BTNL9,NGFR,TENM4,GSTA4,LGI4,TUBB3,DOK5,EYA2,NOTCH4,TAGLN3,FBLN2,PDGFRL",12
"gene_set_query",9,"AEBP1",44.5,"ARCHS4 Coexpression,8;GTEx Coexpression,81","MFAP4,MMP11,FGF14,ITGA10,CTSK,ITGA11,PRELP,FBLN1,CPZ,PAMR1,FBLN2",11
"gene_set_query",13,"FOXS1",69,"ARCHS4 Coexpression,127;Enrichr Queries,14;GTEx Coexpression,66","MFAP4,FGF14,DES,LUM,ITGA10,CTSK,ITGA11,FHL2,HAS2,PRELP,FBLN2",11
