ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,CCR7,1236,PAR-CLIP,22100165|22291592|23592263|24668909,Lung
hsa-let-7b-5p,MIMAT0000063,CLDN5,7122,HITS-CLIP,30455455,Lung
hsa-let-7b-5p,MIMAT0000063,CXCL5,6374,PAR-CLIP,27292025,Lung
hsa-let-7b-5p,MIMAT0000063,FBLN1,2192,Microarrays,37986224,Lung
hsa-let-7b-5p,MIMAT0000063,FBLN2,2199,HITS-CLIP,24389009,Lung
hsa-let-7b-5p,MIMAT0000063,LAMP3,27074,Microarrays,37986224,Lung
hsa-let-7b-5p,MIMAT0000063,LUM,4060,Microarrays,37986224,Lung
hsa-let-7b-5p,MIMAT0000063,NGFR,4804,HITS-CLIP//PAR-CLIP,24389009|26701625|27292025,Lung
hsa-let-7b-5p,MIMAT0000063,PRELP,5549,HITS-CLIP,24389009|27418678,Lung
hsa-let-7b-5p,MIMAT0000063,TFAP2A,7020,"PAR-CLIP, Microarrays",37986224,Lung
hsa-let-7b-5p,MIMAT0000063,TNS4,84951,Microarrays,37986224,Lung
hsa-miR-15a-5p,MIMAT0000068,CLDN5,7122,HITS-CLIP,24038734|24389009|30742093,Lung
hsa-miR-15a-5p,MIMAT0000068,COL17A1,1308,HITS-CLIP,26061048,Lung
hsa-miR-15a-5p,MIMAT0000068,CXCL5,6374,HITS-CLIP//PAR-CLIP,37986224|24038734|27292025,Lung
hsa-miR-15a-5p,MIMAT0000068,FBLN1,2192,HITS-CLIP,24038734|24389009|30455455,Lung
hsa-miR-15a-5p,MIMAT0000068,FBLN2,2199,HITS-CLIP,24389009|24038734|34031238|35269913|27418678,Lung
hsa-miR-15a-5p,MIMAT0000068,IL11,3589,HITS-CLIP//PAR-CLIP//R-Seq,24389009|26061048|33406413|27292025|30670076|35269913,Lung
hsa-miR-15a-5p,MIMAT0000068,LAMP3,27074,PAR-CLIP,22291592,Lung
hsa-miR-15a-5p,MIMAT0000068,LUM,4060,HITS-CLIP,33406413|27418678|35269913,Lung
hsa-miR-15a-5p,MIMAT0000068,MFAP4,4239,HITS-CLIP,34031238|28735896,Lung
hsa-miR-15a-5p,MIMAT0000068,NGFR,4804,HITS-CLIP,23824327|24389009,Lung
hsa-miR-15a-5p,MIMAT0000068,PRELP,5549,HITS-CLIP,24389009|34031238,Lung
hsa-miR-15a-5p,MIMAT0000068,TFAP2A,7020,PAR-CLIP//HITS-CLIP,23592263|23446348|21572407|20371350|26701625|27292025|33406413|34031238|27150721|24906430|31101765,Lung
hsa-miR-15a-5p,MIMAT0000068,TNS4,84951,HITS-CLIP,26061048,Lung
hsa-miR-16-5p,MIMAT0000069,CLDN5,7122,HITS-CLIP,37986224,Lung
hsa-miR-16-5p,MIMAT0000069,CXCL5,6374,HITS-CLIP//PAR-CLIP//qCLASH,37986224|24038734|27292025|28735896|33956915,Lung
hsa-miR-16-5p,MIMAT0000069,FBLN1,2192,Microarrays//qCLASH,37986224|29386283,Lung
hsa-miR-16-5p,MIMAT0000069,IL11,3589,Microarrays//HITS-CLIP//R-Seq//PAR-CLIP//qCLASH,37986224|24389009|26061048|30670076|18668040|33406413|27292025|35269913|29386283,Lung
hsa-miR-16-5p,MIMAT0000069,LAMP3,27074,Microarrays,37986224|18668040,Lung
hsa-miR-16-5p,MIMAT0000069,LUM,4060,Microarrays//HITS-CLIP,37986224|27418678,Lung
hsa-miR-16-5p,MIMAT0000069,MFAP4,4239,Microarrays,37986224|21724616|18668040,Lung
hsa-miR-16-5p,MIMAT0000069,TFAP2A,7020,PAR-CLIP//Sequencing//Microarrays//HITS-CLIP,20371350|23592263|23446348|21572407|26701625|27292025|18668040|27150721|31101765|33406413|24906430,Lung
hsa-miR-16-5p,MIMAT0000069,TNS4,84951,Microarrays//PAR-CLIP,37986224|26701625|18668040,Lung
hsa-miR-17-5p,MIMAT0000070,COL6A6,131873,HITS-CLIP,27150721,Lung
hsa-miR-17-5p,MIMAT0000070,CXCL5,6374,PAR-CLIP,22012620|27292025,Lung
hsa-miR-17-5p,MIMAT0000070,FBLN2,2199,HITS-CLIP,24389009,Lung
hsa-miR-17-5p,MIMAT0000070,IL11,3589,R-Seq,30670076,Lung
hsa-miR-17-5p,MIMAT0000070,LAMP3,27074,PAR-CLIP//HITS-CLIP,22291592|23592263|27292025|27150721|26701625,Lung
hsa-miR-17-5p,MIMAT0000070,LUM,4060,HITS-CLIP,24389009,Lung
hsa-miR-17-5p,MIMAT0000070,MFAP4,4239,HITS-CLIP,24389009,Lung
hsa-miR-17-5p,MIMAT0000070,PRELP,5549,HITS-CLIP,24389009|27418678|34031238,Lung
hsa-miR-17-5p,MIMAT0000070,TNS4,84951,R-Seq,30670076,Lung
hsa-miR-19a-3p,MIMAT0000073,CXCL5,6374,HITS-CLIP,24906430|27150721,Lung
hsa-miR-19a-3p,MIMAT0000073,FBLN2,2199,HITS-CLIP,27418678,Lung
hsa-miR-19a-3p,MIMAT0000073,LUM,4060,HITS-CLIP//PAR-CLIP,24038734|31101765|33406413,Lung
hsa-miR-19a-3p,MIMAT0000073,TFAP2A,7020,HITS-CLIP,23313552|27150721,Lung
hsa-miR-20a-5p,MIMAT0000075,COL6A6,131873,HITS-CLIP,27150721,Lung
hsa-miR-20a-5p,MIMAT0000075,CXCL5,6374,PAR-CLIP,27292025,Lung
hsa-miR-20a-5p,MIMAT0000075,FBLN1,2192,Microarrays,37986224,Lung
hsa-miR-20a-5p,MIMAT0000075,FBLN2,2199,HITS-CLIP,24389009,Lung
hsa-miR-20a-5p,MIMAT0000075,LAMP3,27074,"PAR-CLIP, Microarrays//PAR-CLIP//HITS-CLIP",37986224|22291592|23592263|27150721|27292025|26701625,Lung
hsa-miR-20a-5p,MIMAT0000075,LUM,4060,Microarrays//HITS-CLIP,37986224|24389009,Lung
hsa-miR-20a-5p,MIMAT0000075,MFAP4,4239,HITS-CLIP,24389009,Lung
hsa-miR-20a-5p,MIMAT0000075,PRELP,5549,HITS-CLIP,24389009|27418678,Lung
hsa-miR-24-3p,MIMAT0000080,CXCL5,6374,HITS-CLIP//qCLASH,37986224|33956915,Lung
hsa-miR-24-3p,MIMAT0000080,FBLN1,2192,HITS-CLIP//PAR-CLIP,37986224|26701625,Lung
hsa-miR-24-3p,MIMAT0000080,IL11,3589,HITS-CLIP,37986224,Lung
hsa-miR-24-3p,MIMAT0000080,LUM,4060,HITS-CLIP,24038734|27418678,Lung
hsa-miR-24-3p,MIMAT0000080,PRELP,5549,HITS-CLIP,24389009,Lung
hsa-miR-24-3p,MIMAT0000080,TFAP2A,7020,HITS-CLIP,26061048,Lung
hsa-miR-26a-5p,MIMAT0000082,CCR7,1236,Microarrays,37986224,Lung
hsa-miR-26a-5p,MIMAT0000082,CLDN5,7122,Microarrays//HITS-CLIP,37986224|24389009,Lung
hsa-miR-26a-5p,MIMAT0000082,CXCL5,6374,PAR-CLIP//qCLASH,27292025|33956915,Lung
hsa-miR-26a-5p,MIMAT0000082,CXCL9,4283,Microarrays,37986224|18713946,Lung
hsa-miR-26a-5p,MIMAT0000082,FBLN1,2192,HITS-CLIP,24389009,Lung
hsa-miR-26a-5p,MIMAT0000082,IL11,3589,HITS-CLIP//PAR-CLIP,26061048|27292025,Lung
hsa-miR-26a-5p,MIMAT0000082,ITGB7,3695,HITS-CLIP,24389009,Lung
hsa-miR-26a-5p,MIMAT0000082,LUM,4060,HITS-CLIP,24038734|24389009|27418678,Lung
hsa-miR-26a-5p,MIMAT0000082,PRELP,5549,HITS-CLIP,24389009|27418678|35269913|34031238,Lung
hsa-miR-26a-5p,MIMAT0000082,TFAP2A,7020,HITS-CLIP//PAR-CLIP,37986224|23592263|24398324|24906430|27292025|27150721|35269913,Lung
hsa-miR-26b-5p,MIMAT0000083,CLDN5,7122,HITS-CLIP,24389009,Lung
hsa-miR-26b-5p,MIMAT0000083,CXCL5,6374,PAR-CLIP,27292025,Lung
hsa-miR-26b-5p,MIMAT0000083,CXCL9,4283,Microarray//Microarrays,19088304,Lung
hsa-miR-26b-5p,MIMAT0000083,IL11,3589,HITS-CLIP//PAR-CLIP,26061048|27292025,Lung
hsa-miR-26b-5p,MIMAT0000083,ITGB7,3695,HITS-CLIP,24389009,Lung
hsa-miR-26b-5p,MIMAT0000083,LAMP3,27074,Microarray//Microarrays,19088304,Lung
hsa-miR-26b-5p,MIMAT0000083,LUM,4060,HITS-CLIP,27418678,Lung
hsa-miR-26b-5p,MIMAT0000083,PRELP,5549,HITS-CLIP,24389009|27418678|35269913,Lung
hsa-miR-26b-5p,MIMAT0000083,TFAP2A,7020,HITS-CLIP//PAR-CLIP,37986224|23313552|23592263|24398324|24906430|27150721|35269913|27292025,Lung
hsa-miR-26b-5p,MIMAT0000083,TNS4,84951,Microarray//Microarrays,19088304,Lung
hsa-miR-98-5p,MIMAT0000096,CCR7,1236,PAR-CLIP,22100165|22291592|23592263,Lung
hsa-miR-98-5p,MIMAT0000096,CLDN5,7122,HITS-CLIP,30455455,Lung
hsa-miR-98-5p,MIMAT0000096,FBLN1,2192,HITS-CLIP//PAR-CLIP,24038734|23313552|24389009|26701625|27418678|30455455,Lung
hsa-miR-98-5p,MIMAT0000096,LUM,4060,HITS-CLIP,24038734|26226348|27418678,Lung
hsa-miR-98-5p,MIMAT0000096,NGFR,4804,HITS-CLIP//PAR-CLIP,24389009|27292025,Lung
hsa-miR-98-5p,MIMAT0000096,PRELP,5549,HITS-CLIP,24389009|24038734|27418678,Lung
hsa-miR-98-5p,MIMAT0000096,TFAP2A,7020,Microarray//HITS-CLIP//PAR-CLIP//Microarrays,19088304|26061048|27150721|24389009|24398324|23592263|27292025|23313552|26701625|24038734|35269913|24906430,Lung
