"gene_symbol","in_GSE310475","in_GSE99621","LFC_ASO_vs_Scr","LFC_IPF_vs_Ctrl","padj_GSE310475","padj_GSE99621"
"PEBP4",TRUE,TRUE,4.46019360207524,-1.56234517271335,2.17855612841128e-18,3.18681945894206e-10
"MS4A15",TRUE,TRUE,4.34351848604886,-2.20336414261608,9.12853918663612e-18,6.84103526345402e-15
"CCL21",TRUE,TRUE,5.91241490390511,1.58846753003725,7.56230077073027e-17,8.28996708147149e-11
"F13A1",TRUE,TRUE,3.44252713693858,1.07199718824832,2.92860154592675e-16,0.0248982938285157
"CA4",TRUE,TRUE,3.77176295272206,-2.00553041454577,3.00167611250497e-16,0.000332925740948419
"LAMP3",TRUE,TRUE,2.67972910134606,-1.39313843394271,9.75007134315419e-16,6.82151784542775e-07
"KRT6A",TRUE,TRUE,-3.03069049869458,2.9809795029246,2.79617048133901e-13,0.00156616806535546
"TFAP2A",TRUE,TRUE,-3.15340578154691,1.5791803573643,3.10222655141974e-13,0.0499448505565215
"LRRK2",TRUE,TRUE,3.26235606630827,-1.37287513943561,1.21392555329307e-12,1.59599953281209e-08
"TNS4",TRUE,TRUE,-2.77048017984179,1.43297861366172,1.33401305666847e-12,0.0238153460714194
"HHIP",TRUE,TRUE,2.69567646156896,-1.96636648988902,3.93635306491918e-12,1.65708484343007e-05
"SLC39A8",TRUE,TRUE,2.04523483830687,-1.02316156578252,2.03805299380547e-11,0.00269182198339844
"NGFR",TRUE,TRUE,-2.71187601850404,1.59076908381727,4.3053492992188e-10,5.40391686995004e-05
"FAM107A",TRUE,TRUE,2.61353496765454,-1.80376479072873,1.36315250918849e-09,3.61856100106007e-07
"CLDN5",TRUE,TRUE,2.15427410812753,-1.15468517314412,2.39557558504189e-09,0.0133303249220623
"ZBTB16",TRUE,TRUE,2.25238586192385,-3.7656104801214,3.35696336592107e-09,1.93051934593954e-25
"COL17A1",TRUE,TRUE,-2.06023702831018,1.87053297337756,6.08917468947543e-09,0.000555827624795812
"ZNF385B",TRUE,TRUE,2.77616321159531,-2.28079770945817,7.37865049570528e-09,3.14648648190034e-16
"PRELP",TRUE,TRUE,2.48347720570863,-1.14711900018924,8.54109883975235e-09,0.000452044500856478
"HSD17B6",TRUE,TRUE,2.63562778792497,-2.38618710375369,1.51301895544335e-08,1.86845817510567e-25
"CLDN18",TRUE,TRUE,2.81861957927444,-1.09633792855373,2.29187216127634e-08,0.00793392341996654
"CHI3L2",TRUE,TRUE,2.15868483457243,-1.75841188502132,1.05963852286332e-07,3.20859864349293e-06
"MGC27382",TRUE,TRUE,2.55405381370453,-1.08194975987101,1.18949707002968e-07,0.00134768077446331
"CTSK",TRUE,TRUE,1.83197543748432,1.1071388761884,1.29403498921913e-07,0.00137853650391371
"GJB2",TRUE,TRUE,-2.30964394920439,1.64799992856984,1.41131263418491e-07,0.0055987995916487
"IL13RA2",TRUE,TRUE,-3.23869054812263,2.98798357131498,1.9193781282372e-07,1.46420834827617e-14
"GPIHBP1",TRUE,TRUE,4.56971936850159,-3.29116197593741,2.45427264075521e-07,2.30717560344568e-23
"COL24A1",TRUE,TRUE,-2.93118236330592,1.02801495826805,3.33461780198177e-07,8.17477270175151e-05
"NALCN",TRUE,TRUE,-2.63356083645021,1.1545745186125,4.42574096095959e-07,6.32742145519761e-05
"PKP1",TRUE,TRUE,-2.10533983748672,1.16214386078556,4.91366484131322e-07,0.0307167696631127
"SFTPA2",TRUE,TRUE,2.04897432681891,-1.23132120542387,6.4914451983855e-07,1.99772564244861e-05
"CXCL5",TRUE,TRUE,-1.82818476582683,1.28023356697615,9.47727304352621e-07,0.012730232158514
"RORB",TRUE,TRUE,2.83032757551947,-1.21853145879872,1.00904003305793e-06,1.92496115820594e-05
"KEL",TRUE,TRUE,-2.89393334621641,-1.1079910421986,1.36998686795218e-06,0.00186025520655265
"FBLN1",TRUE,TRUE,1.88892470303943,1.01322341442972,1.88948860845786e-06,1.07228335176067e-06
"FHL2",TRUE,TRUE,-1.56694725839994,2.00324121483252,4.65451358043757e-06,8.35053047961312e-23
"COL6A6",TRUE,TRUE,2.75252113201363,1.26162185672405,5.74733598147803e-06,1.31118512936953e-05
"HLA-DQA2",TRUE,TRUE,-2.21976715917444,1.56433290748316,8.04262876633463e-06,0.0103505074995694
"EYA2",TRUE,TRUE,-1.88098874073942,1.14680586594768,8.38826835850448e-06,0.0227303757145229
"NOTCH4",TRUE,TRUE,1.8076157898151,-1.14944581523088,1.10017346691966e-05,1.92108852796936e-05
"KCNA3",TRUE,TRUE,-1.50427200496167,1.1340858487692,1.19790747720521e-05,1.14905704803227e-08
"ECEL1P2",TRUE,TRUE,4.07048089715889,-1.0987552096839,1.75503556949705e-05,0.0136564334288082
"MFAP4",TRUE,TRUE,1.80738144441002,1.59388231797966,2.03069562906774e-05,8.86757001999513e-09
"IL1R2",TRUE,TRUE,2.21467165934719,-3.20442244503636,2.45240464699707e-05,7.95020266952607e-71
"GALNT15",TRUE,TRUE,2.06825524933138,-2.80867612720313,2.76332646474514e-05,2.58930798933833e-07
"GPM6A",TRUE,TRUE,2.82691749022129,-1.06830786556962,5.41202062951835e-05,0.0440682937392837
"PRG4",TRUE,TRUE,2.27443223248211,1.93268271190504,6.39687903159772e-05,1.9386967275667e-07
"ACOXL",TRUE,TRUE,1.53679852152054,-1.4003130355785,6.94056242572846e-05,2.46550004489213e-10
"CAPN13",TRUE,TRUE,-1.72898832814426,1.06061488908567,0.000157111156002015,0.0465587213106617
"CHRDL2",TRUE,TRUE,2.48851062825092,1.59103470500238,0.000164382314956945,0.000350311445282933
"CYP24A1",TRUE,TRUE,-1.8801592296193,2.7775421162281,0.000169343294580053,0.00211275847631862
"PLLP",TRUE,TRUE,1.74324804370741,-1.2680704909462,0.000232643511528634,5.9916240084665e-06
"FMO5",TRUE,TRUE,1.58520282292227,-3.08910398628534,0.000248095340786363,3.08963553734639e-58
"SDR16C5",TRUE,TRUE,1.42105698544286,-1.6968306606504,0.000282298017301491,2.24370025913742e-17
"CACNA2D2",TRUE,TRUE,2.11154854647283,-1.00647857948855,0.000368921009236155,2.83028831739886e-07
