Gene ID	Gene Symbol	Gene Biotype	Gene Description	Gene Chromosome	Gene Start	Gene Stop	Gene Strand	Scr_1	Scr_2	Scr_3	ASO_1	ASO_2	ASO_3
ENSG00000125814	NAPB	protein_coding	Beta-soluble NSF attachment protein	chr20	23374519	23421519	-	183	189	131	199	193	102
ENSG00000108406	DHX40	protein_coding	Probable ATP-dependent RNA helicase DHX40	chr17	59565558	59608345	+	153	235	120	203	269	79
ENSG00000289291	ENSG00000289291	lncRNA		chr1	28736044	28737670	-	21	9	16	12	17	16
ENSG00000155097	ATP6V1C1	protein_coding	V-type proton ATPase subunit C 1	chr8	103021063	103073051	+	361	353	281	362	446	302
ENSG00000154262	ABCA6	protein_coding	ATP-binding cassette sub-family A member 6	chr17	69078702	69141895	-	35	171	24	497	602	112
ENSG00000260519	ATP8A1-DT	lncRNA		chr4	42657496	42658347	+	0	0	0	3	2	1
ENSG00000173706	HEG1	protein_coding	Protein HEG homolog 1	chr3	124965710	125055997	-	1379	1373	1733	1773	1471	2029
ENSG00000178917	ZNF852	protein_coding	Zinc finger protein 852	chr3	44494847	44510636	-	92	114	66	106	106	47
ENSG00000236073	ENSG00000236073	processed_pseudogene		chr1	21073639	21073753	-	8	3	7	6	6	4
ENSG00000278071	ENSG00000278071	lncRNA		chr14	103208100	103208876	+	0	0	2	3	2	0
ENSG00000253869	PIGFP1	processed_pseudogene		chr5	178922064	178922716	+	1	0	0	2	4	0
ENSG00000288721	ENSG00000288721	protein_coding	Mediator of RNA polymerase II transcription subunit 20	chr6	41793314	41921139	-	6	9	7	5	11	7
ENSG00000119147	ECRG4	protein_coding	Augurin	chr2	106063246	106078155	+	14	28	17	5	2	5
ENSG00000235641	LINC00484	lncRNA		chr9	91159573	91166272	+	2	3	2	3	2	4
ENSG00000277232	GTSE1-DT	lncRNA		chr22	46295143	46296660	-	9	9	6	5	9	15
ENSG00000275178	ENSG00000275178	lncRNA		chr18	77093086	77093446	+	3	3	2	2	2	1
ENSG00000291082	HERC2P9	lncRNA		chr15	28651421	28685264	+	15	16	8	9	8	7
ENSG00000243107	ENSG00000243107	lncRNA		chr7	92200014	92206857	-	10	13	6	19	21	8
ENSG00000112182	BACH2	protein_coding	Transcription regulator protein BACH2	chr6	89926528	90296843	-	137	141	145	141	125	168
ENSG00000278002	ENSG00000278002	lncRNA		chr14	49863072	49864379	+	8	4	4	8	4	9
ENSG00000167595	PROSER3	protein_coding	Proline and serine-rich protein 3	chr19	35758143	35771166	+	165	182	231	147	132	316
ENSG00000263648	ENSG00000263648	processed_pseudogene		chr17	12115547	12115885	+	3	2	1	2	7	0
ENSG00000279122	ENSG00000279122	TEC		chr16	70768967	70770221	-	5	6	8	9	5	9
ENSG00000110768	GTF2H1	protein_coding	General transcription factor IIH subunit 1	chr11	18322295	18367045	+	454	419	251	423	442	154
ENSG00000137843	PAK6	protein_coding	Serine/threonine-protein kinase PAK 6	chr15	40217428	40277487	+	96	49	90	61	43	137
ENSG00000101276	SLC52A3	protein_coding	Solute carrier family 52	chr20	760080	776015	-	29	23	40	20	22	30
ENSG00000064961	HMG20B	protein_coding	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	chr19	3572777	3579088	+	318	283	425	326	284	392
ENSG00000201616	RNU1-91P	snRNA		chr11	3048359	3048521	-	5	5	1	6	3	3
ENSG00000272263	ENSG00000272263	lncRNA		chr3	12832219	12832728	-	3	3	1	6	2	1
ENSG00000182963	GJC1	protein_coding	Gap junction gamma-1 protein	chr17	44798448	44830816	-	355	264	303	234	190	168
ENSG00000121774	KHDRBS1	protein_coding	KH domain-containing	chr1	32013868	32060850	+	584	600	642	630	609	583
ENSG00000173818	ENDOV	protein_coding	Endonuclease V	chr17	80415165	80438086	+	147	185	267	205	225	469
ENSG00000198155	ZNF876P	transcribed_unprocessed_pseudogene	Putative zinc finger protein 876	chr4	218650	254841	+	2	6	4	3	1	0
ENSG00000115425	PECR	protein_coding	Peroxisomal trans-2-enoyl-CoA reductase	chr2	215996329	216082955	-	54	62	73	65	77	67
ENSG00000130518	IQCN	protein_coding	IQ domain-containing protein N	chr19	18257098	18274500	-	69	49	52	31	40	74
ENSG00000101210	EEF1A2	protein_coding	Elongation factor 1-alpha 2	chr20	63488013	63499239	-	20	15	48	13	15	36
ENSG00000188677	PARVB	protein_coding	Beta-parvin	chr22	43999211	44172939	+	306	289	400	309	259	421
ENSG00000239780	RPLP0P11	processed_pseudogene		chr18	50457887	50458795	+	2	0	2	1	2	3
ENSG00000278685	IQCA1L	protein_coding	IQ and AAA domain-containing protein 1-like	chr7	151190873	151205496	-	4	1	4	1	0	0
ENSG00000154229	PRKCA	protein_coding	Protein kinase C alpha type	chr17	66302613	66810743	+	678	555	573	473	383	368
ENSG00000257663	ENSG00000257663	lncRNA		chr12	52076841	52082084	-	3	1	2	3	3	4
ENSG00000161040	FBXL13	protein_coding	F-box and leucine-rich repeat protein 13	chr7	102811189	103074839	-	14	70	14	26	26	5
ENSG00000136238	RAC1	protein_coding	Ras-related C3 botulinum toxin substrate 1	chr7	6374527	6403967	+	651	663	578	620	590	508
ENSG00000076685	NT5C2	protein_coding	Cytosolic purine 5'-nucleotidase	chr10	103087185	103277605	-	896	789	653	742	759	452
ENSG00000250041	ENSG00000250041	lncRNA		chr11	10884158	10899364	-	18	13	5	5	6	1
ENSG00000188559	RALGAPA2	protein_coding	Ral GTPase-activating protein subunit alpha-2	chr20	20389530	20712644	-	924	1154	891	1991	2055	1789
ENSG00000188428	BLOC1S5	protein_coding	Biogenesis of lysosome-related organelles complex 1 subunit 5	chr6	8013567	8064396	-	36	80	32	61	78	13
ENSG00000152409	JMY	protein_coding	Junction-mediating and -regulatory protein	chr5	79236131	79327211	+	254	351	237	401	545	296
ENSG00000089048	ESF1	protein_coding	ESF1 homolog	chr20	13714322	13784919	-	150	224	77	121	155	44
ENSG00000182601	HS3ST4	protein_coding	Heparan sulfate glucosamine 3-O-sulfotransferase 4	chr16	25691959	26137685	+	2	0	6	0	1	1
ENSG00000260910	SWINGN	lncRNA		chr13	113923052	113928991	-	11	16	22	4	4	5
ENSG00000115194	SLC30A3	protein_coding	Probable proton-coupled zinc antiporter SLC30A3	chr2	27253684	27275817	-	4	6	7	5	2	7
ENSG00000288909	ENSG00000288909	lncRNA		chr17	43388391	43389854	+	4	3	5	3	8	8
ENSG00000121964	GTDC1	protein_coding	Glycosyltransferase-like domain-containing protein 1	chr2	143938068	144332568	-	186	218	156	129	179	69
ENSG00000224376	ENSG00000224376	lncRNA		chr2	231388976	231394992	+	9	8	7	8	10	22
ENSG00000259751	TUBAP11	processed_pseudogene		chr15	34849137	34850395	-	10	9	6	3	3	5
ENSG00000075643	MOCOS	protein_coding	Molybdenum cofactor sulfurase	chr18	36187497	36272157	+	142	131	129	118	98	179
ENSG00000164434	FABP7	protein_coding	Fatty acid-binding protein	chr6	122779716	122784074	+	1	0	0	2	2	0
ENSG00000178209	PLEC	protein_coding	Plectin	chr8	143915153	143976734	-	5708	4550	8260	4203	3726	8348
ENSG00000144909	OSBPL11	protein_coding	Oxysterol-binding protein-related protein 11	chr3	125528858	125595497	-	413	386	280	348	366	199
ENSG00000286366	ENSG00000286366	lncRNA		chrX	119791971	119810949	+	3	3	2	5	5	1
ENSG00000126456	IRF3	protein_coding	Interferon regulatory factor 3	chr19	49659569	49665875	-	220	204	272	163	200	289
ENSG00000117505	DR1	protein_coding	Protein Dr1	chr1	93345907	93369493	+	307	417	230	337	356	187
ENSG00000157551	KCNJ15	protein_coding	ATP-sensitive inward rectifier potassium channel 15	chr21	38155549	38307357	+	169	147	131	495	551	477
ENSG00000290127	ENSG00000290127	lncRNA		chr1	197201486	197201943	+	1	2	0	7	2	0
ENSG00000184160	ADRA2C	protein_coding	Alpha-2C adrenergic receptor	chr4	3766348	3768526	+	22	9	20	8	9	34
ENSG00000102316	MAGED2	protein_coding	Melanoma-associated antigen D2	chrX	54807599	54816015	+	346	399	546	456	393	610
ENSG00000172331	BPGM	protein_coding	Bisphosphoglycerate mutase	chr7	134646811	134679816	+	209	155	141	135	118	54
ENSG00000140386	SCAPER	protein_coding	S phase cyclin A-associated protein in the endoplasmic reticulum	chr15	76347904	76905444	-	201	262	131	258	342	98
ENSG00000263063	ENSG00000263063	lncRNA		chr17	82713908	82716255	-	0	3	0	0	1	0
ENSG00000140157	NIPA2	protein_coding	Magnesium transporter NIPA2	chr15	22838644	22869362	+	207	218	230	231	202	234
ENSG00000128513	POT1	protein_coding	Protection of telomeres protein 1	chr7	124822386	124929983	-	51	101	38	72	78	18
ENSG00000054179	ENTPD2	protein_coding	Ectonucleoside triphosphate diphosphohydrolase 2	chr9	137048107	137054061	-	10	6	6	1	2	5
ENSG00000156521	TYSND1	protein_coding	Peroxisomal leader peptide-processing protease	chr10	70137981	70146700	-	117	107	145	105	84	263
ENSG00000289624	ENSG00000289624	lncRNA		chr18	22562054	22563242	-	3	4	0	0	1	0
ENSG00000232693	ENSG00000232693	lncRNA		chr2	65373700	65380685	-	8	13	1	10	11	1
ENSG00000184743	ATL3	protein_coding	Atlastin-3	chr11	63624087	63671921	-	806	900	798	927	868	583
ENSG00000260981	ENSG00000260981	lncRNA		chr5	8785042	8785468	-	3	8	7	3	11	0
ENSG00000248494	LNX1-AS2	lncRNA		chr4	53592956	53604047	+	0	3	0	0	0	0
ENSG00000222346	RNA5SP237	rRNA_pseudogene		chr7	111953653	111953765	-	4	7	8	5	6	3
ENSG00000232150	ST13P4	processed_pseudogene	Putative protein FAM10A4	chr13	50172089	50173181	+	2	4	2	5	2	0
